Mnemonic,Description
SCIIMP8,HOW IMPORTANT: RESEARCH TAKES PLACE IN A LABORATORY
SCIINFGO,WHERE ONLINE GET INFO
SCIINFGW,INFLUENCE ON GLOBAL WARMING POLICY: ENVIRONMNTAL SCIENTISTS
SCIINTRO,WHICH VERSION OF SCIENCE INTRODUCTION WAS USED
SCIMATH,QUALITY OF SCIENCE & MATH EDUC IN US IS INADEQUATE
SCIMODE,WAS SAQ SELF ADMINISTERED OR INTERVIEW ADMINISTERED
SCIMORAL,SCIENCE BREAKS DOWN IDEAS OF RIGHT & WRONG
SCINEWS1,NEWSPAPER PRINTED OR ONLINE
SCINEWS2,MAGAZINE PRINTED OR ONLINE
SCINEWS3,WHERE ONLINE GET INFO
SCIPRY,SCIENTISTS PRY INTO THINGS THEY OUGHTN'T
SCISOLVE,SCIENCE WILL SOLVE SOCIAL PROBLEMS
SCISPEC,SCIENCE IS TOO CONCERNED WITH THEORY AND SPECULATION
SCISTUDY,R HAS CLEAR UNDERSTANDING OF SCIENTIFIC STUDY
SCITEST1,HUMANS MAKE ALL RADIOACTIVITY
SCITEST2,ANTIBIOTICS KILL BACTERIA NOT VIRUSES
SCITEST3,ASTROLOGY HAS SOME SCIENTIFIC TRUTH
SCITEST4,HUMANS EVOLVED FROM ANIMALS
SCITEST5,ALL MAN-MADE CHEMS CAUSE CANCER
SCITESTY,HUMAN BEINGS DEVELOPED FROM EARLIER SPECIES OF ANIMAL
SCITEXT,WHAT IT MEANS TO R TO STUDY SCIENTIFICALLY
SCIWORSE,HUMANS CHANGE NATURE FOR THE WORSE
SCMED,HOW WELL MEDICAL RESEARCHERS UNDERSTAND STEM CELLS
SCPOL,HOW WELL ELECTED OFFICIALS UNDERSTAND STEM CELLS
SCRELIG,HOW WELL RELIGIOUS LEADERS UNDERSTAND STEM CELLS
SCRESRCH,GOVERNMENT SHOULD FUND STEM CELL RESEARCH
SEALEVEL,EFFECT OF GLOBAL WARMING: SEA LEVEL FLOOD COASTAL AREAS
SECBUDGT,GOVERNMENT MAINTAIN SECRECY ON THE INTELLIGENCE BUDGET
SECDIPLO,GOVERNMENT MAINTAIN SECRECY ON DIPLOMATIC INITIATIVES
SECDOCS,DOES GOVT CLASSIFY TOO MANY DOCUMENTS AS SECRETS
SECJOB,IMPORTANCE OF JOB SECURITY IN A JOB
SECMILOP,GOVERNMENT MAINTAIN SECRECY ON MILITARY OPERATIONS
SECONDWK,R HAS JOB OTHER THAN MAIN
SECOPIN,WOULD R SEEK SECOND OPINION
SECPRVCY,GOVT FAVOR SECRECY OVER WORKERS PRIVACY?
SECTECH,SHOULD GOVT MAINTAIN SECRECY OVER TECHNOLOGY
SECTERR,GOVERNMENT MAINTAIN SECRECY ON DOMESTIC TERRORISM
SECTOR,TYPE OF COLLEGE RESPONDENT ATTENDED
SEECOWRK,HOW EASY TO SEE WHETHER CO-WORKERS WORKING
SEEFILM,LAST WEEK WENT TO SEE A FILM?
SEEKSCI,PROBABLE SOURCE OF INFORMATION ABOUT SCIENTIFIC ISSUES
SEEKSCIY,WHERE GET SCIENCE ISSUE NEWS
SEEMHPUB,HOW FREQUENTLY R SEES SOMEONE MENTALLY ILL IN PUBLIC
SEEMOVIE,WENT TO A MOVIE IN LST YR
SEENMNTL,YOU OR ANYONE YOU KNOW SEEN A PSYCHIATRIST
SEESAND,WHICH PICTURE SHOWS WHAT SHE SHOULD USE FOR THE 2ND POT
SEETALK1,HOW FREQUENTLY R SEES OR TALKS TO PERSON 1
SEETALK2,HOW FREQUENTLY R SEES OR TALKS TO PERSON 2
SEETALK3,HOW FREQUENTLY R SEES OR TALKS TO PERSON 3
SEETALK4,HOW FREQUENTLY R SEES OR TALKS TO PERSON 4
SEETALK5,HOW FREQUENTLY R SEES OR TALKS TO PERSON 5
SEI,RESPONDENT SOCIOECONOMIC INDEX (1980)
SEI10,R'S SOCIOECONOMIC INDEX (2010)
SEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
SEI10INC,PERCENTAGE OF $45K+ EARNERS IN OCC10 BASED ON ACS 2010
SELFEMP1,EMPLOYEE HAVE MORE JOB SECURITY THAN THE SELF-EMPLOYED
SELFEMP2,BEING EMPLOYEE INTERFERE MORE WITH FAMILY LIFE THAN SELF-EMPLOYMENT
SELFFRST,PEOPLE NEED NOT OVERLY WORRY ABOUT OTHERS
SELFHELP,X SHOULD JOIN A SELF-GROUP WITH SIMILAR PROBLEM
SELFIRST,TAKE CARE OF YOURSELF FIRST BEFORE OTHERS
SELFISH,R IS A SELFISH PERSON
SELFLESS,R FEELS LIKE A SELFLESS CARING FOR OTHERS
SELFRESP,HOW RESP. DO YOU FEEL FOR THE SITUATION?
SELLAUTO,O WOULD YOU RATHER SELL AN AUTOMOBILE
SELLBABY,SURROGATE MOTHERS SHOULD BE PERMITTED
SELLBED,WOULD YOU RATHER SELL BEDROOM FURNITURE
SELLHOME,E WOULD YOU RATHER SELL A HOUSE-CONDOMINIUM
SELLORGN,SHOULD PEOPLE BE PERMITTED TO SELL A KIDNEY
SELLSEX,NOTHING INHERENTLY WRONG WITH PROSTITUTION
SEMIGUNS,SHOULD SEMI-AUTO GUN SALE BE LIMITED TO MILITARY
SERIOUSP,HOW SERIOUS X S SITUATION IS
SERVEGRP,HAS R SERVED ON GROUP COMMITTEES
SERVEPEO,HOW COMMITTED GOVT ADMNSTRATORS ARE TO SERVE PEOPLE
SETHOURS,WHO SET WORKING HOURS
SETHRS,HOW ARE YOUR WORKING HOURS DECIDED
SETPRICE,GOVT CONTROL OF PRICES
SETTHNGS,HOW OFTEN R SET WAY THINGS DONE
SETWAGE,GOVT CONTROL OF WAGES
SEVERE1,HOW SEVERE PERSON 1'S MENTAL HEALTH PROBLEM IS
SEVERE2,HOW SEVERE PERSON 2'S MENTAL HEALTH PROBLEM IS
SEVERE3,HOW SEVERE PERSON 3'S MENTAL HEALTH PROBLEM IS
SEVERE4,HOW SEVERE PERSON 4'S MENTAL HEALTH PROBLEM IS
SEVERE5,HOW SEVERE PERSON 5'S MENTAL HEALTH PROBLEM IS
SEX,RESPONDENTS SEX
SEX1,SEX OF PERSON NUMBER 1
SEX2,SEX OF PERSON NUMBER 2
SEX3,SEX OF PERSON NUMBER 3
SEX4,SEX OF PERSON NUMBER 4
SEX5,SEX OF PERSON NUMBER 5
SEXBIRTH,R'S SEX ASSIGNED AT BIRTH
SEXEDUC,SEX EDUCATION IN PUBLIC SCHOOLS
SEXEMP,IMPORTANCE OF GENDER TO PAY
SEXFREQ,FREQUENCY OF SEX DURING LAST YEAR
SEXFREQ1,HAD SEX IN LAST MONTH
SEXFREQ2,"NUMBER OF TIMES, SEX LAST MONTH"
SEXHAR,R EXPERIENCED SEXUAL HARASSMENT
SEXNOW,R'S SEX NOW
SEXORNT,SEXUAL ORIENTATION
SEXPROMO,SEX MAKES YOUR PROMOTION DIFFERENT
SEXSEX,SEX OF SEX PARTNER'S IN LAST YEAR
SEXSEX18,"SINCE AGE 18, HAVE YOUR SEX PARTNER'S BEEN..."
SEXSEX5,SEX OF SEX PARTNER'S LAST FIVE YEARS
SEXUNION,SEX OF R'S SPOUSE/CIVIL UNION PARTNER/DOMESTIC PARTNER
SHAKEBLU,FELT THAT COULDN'T SHAKE THE BLUES?
SHARESEP,MAN AND WOMAN DO THINGS TOGETHER-SEPARATE
SHOP1,WHO IN HOUSEHOLD SHOPS FOR GROCERIES
SHOPFOOD,WHO IN HOUSEHOLD SHOPS FOR GROCERIES
SHOPMOVE,SHOPPED AROUND BECAUSE HAD MOVED
SHOPNUM,HOW MANY CHURCHES DID YOU VISIT
SHOPREL,EVER SHOPPED AROUND FOR A CHURCH
SHORTCOM,WORLD BETTER IF AMERICA ACKNOWLEDGED SHORTCOMINGS
SHOTGUN,SHOTGUN IN HOME
SHOUT,PPL AT WORK SHOUT AT R IN HOSTILE MANNER
SHOWANGR,WHEN I'M ANGRY I LET PEOPLE KNOW.
SHOWFEEL,I'M NOT AFRAID TO SHOW MY FEELINGS.
SIBCALL,HOW OFTEN DOES R CONTACT BY TELEPHONE OR LETTER
SIBDEATH,DEATH OF SIBLING
SIBINLAW,HOW OFTEN DOES R CONTACT BROTHERS OR SISTER'S-IN-LAW
SIBLING1,PERSON #1 IS R'S SIBLING
SIBLING2,PERSON #2 IS R'S SIBLING
SIBLING3,PERSON #3 IS R'S SIBLING
SIBLING4,PERSON #4 IS R'S SIBLING
SIBLING5,PERSON #5 IS R'S SIBLING
SIBMOST,DO R HAVE THE MOST CONTACT WITH SISTER OR BROTHER
SIBNUM,NUMBER OF ADULT SISTER OR BROTHER
SIBORDER,BIRTH ORDER
SIBS,NUMBER OF BROTHERS AND SISTERS
SIBVISIT,HOW OFTEN DOES R VISIT THIS SISTER OR BROTHER
SICK1,HELP IF SICK #1
SICK1A,WHO DOES R TURN TO FIRST FOR HELP WHEN SICK
SICK2,HELP IF SICK #2
SICK2A,WHO DOES R TURN TO SECOND FOR HELP WHEN SICK
SIGNDPET,SIGNED A PETITION
SIGNPET,HAVE EVER SIGNED A PETITION PAST 5 YEARS
SINGLPAR,SINGLE PARENTS CAN RAISE KIDS AS WELL AS TWO
SISCALL,CONTACT WITH SISTER
SISNUM,NUMBER OF ADULT SISTER'S
SISTIME,TRAVEL TIME TO SISTER
SISVISIT,HOW OFTEN VISIT SISTER
SITEYRS,HOW LONG HAVE WORKED FOR THOSE SITES
SIZE,SIZE OF PLACE IN 1000S
SKILTEST,BEFORE GOT THE JOB TOOK A SKILL TEST
SKIPWORK,HOW OFTEN R STAYED AT HOME OR LEAVE WORK EARLY
SKLTRAIN,R HAD JOB SKILL TRAINING IN THEPAST 12 MONTHS
SLFMANGD,R INVOLVED IN A SELF-MANAGED TEAM
SLFRSPCT,I WISH I COULD HAVE MORE RESPECT FOR MYSELF
SLPPRBLM,TROUBLE SLEEPING LAST 12 MONTHS
SLSMNSHP,HOW SCIENTIFIC IS SALESMANSHIP
SMALLBIG,R PREFERENCE RE: FIRM SIZE IN
SMALLGAP,SMALL
SMAMMAL,"SMALL MAMMAL (RABBIT, GERBIL, HAMSTER)"
SMAMMALB4,"SMALL MAMMAL (RABBIT, GERBIL, HAMSTER)"
SMOKE,DOES R SMOKE
SMOKECIG,DOES R SMOKE CIGARETTES
SNAPCHAT,USE SNAPCHAT
SNSMFRST,WHICH SOCIAL NETWORK DID YOU JOIN FIRST
SNSMNEW,WHICH SOCIAL NETWORK DID YOU JOIN MOST RECENTLY
SNSMOT2A,FIRST OTHER SOCIAL NETWORK
SNSMOT2B,SECOND OTHER SOCIAL NETWORK
SNSMOT2C,THIRD OTHER SOCIAL NETWORK
SNSMOTH1,DO YOU USE ANY OTHER SOCIAL NETWORKS
SNSMYEAR,YEAR FIRST JOINED SNS
SOCACTS,PHYSICAL AND EMOTION SOCIAL ACTIVITIES PAST 4
SOCBAR,SPEND EVENING AT BAR
SOCDIF1,INCOME DIFFERENCES AN INCENTIVE
SOCDIF2,PAID WHAT YOU NEED
SOCDIF3,STUDY FOR YEARS TO GET HIGH PAY
SOCDIF4,DON'T GIVE EQUAL CHANCE
SOCFREND,SPEND EVENING WITH FRIENDS
SOCID1,MOST IMPORTANT TO R
SOCID2,SECOND MOST IMPORTANT TO R
SOCID3,THIRD MOST IMPORTANT TO R
SOCOMMUN,SPEND EVENING WITH NEIGHBOR
SOCPARS,SPEND EVENING WITH PARENTS
SOCREL,SPEND EVENING WITH RELATIVES
SOCRIGHT,SOCIETY'S LAWS SHOULD DECIDE RIGHT AND WRONG
SOCSCI,HOW SCIENTIFIC: SOCIOLOGY
SOCSECFX,HOW SERIOUS IS SOCIAL SECURITIES PROBLEM
SOCSECNU,SOCIAL SECURITY PHASE OUT OR CONTINUE
SOCSECRT,SOCIAL SECURITY WILL BE BETTER
SOCSIBS,SPEND EVENING WITH SIBLINGS
SOCTYPE1,WHAT TYPE OF SOCIETY IS AMERICA
SOCTYPE2,WHAT TYPE OF SOCIETY DOES R PREFER
SOLARREV,SCI KNOWLEDGE: HOW LONG THE EARTH GOES AROUND THE SUN
SOLCHURH,CHURCH GROUP TRIES TO SOLVE PROBLEMS
SOLFARM,FARM ORG TRIES TO SOLVE PROBLEMS
SOLFRAT,FRATERNAL GROUP TRIES TO SOLVE PROBLEMS
SOLGREEK,FRATERNITY TRIES TO SOLVE PROBLEMS
SOLHOBBY,HOBBY CLUB TRIES TO SOLVE PROBLEMS
SOLLIT,LIT OR ART GRP TRIES TO SOLVE PROBLEMS
SOLNAT,NATIONALITY GRP TRIES TO SOLVE PROBLEMS
SOLOK,HOW IMPORTANT: CITIZENS HAVE ADEQUATE STANDARD OF LIVING
SOLOTHER,ANY OTHER GROUP TRIES TO SOLVE PROBLEMS
SOLPOLIT,POLITICAL CLUB TRIES TO SOLVE PROBLEMS
SOLPROF,PROF SOCIETY TRIES TO SOLVE PROBLEMS
SOLSCHL,SCHOOL SERVICE TRIES TO SOLVE PROBLEMS
SOLSERV,SERVICE GROUP TRIES TO SOLVE PROBLEMS
SOLSPORT,SPORTS CLUB TRIES TO SOLVE PROBLEMS
SOLUNION,LABOR UNION TRIES TO SOLVE PROBLEMS
SOLVEOWN,R WOULD SOLVE PROBLEM ON ONES OWN OR GET ADVICE
SOLVET,VETERAN GROUP TRIES TO SOLVE PROBLEMS
SOLYOUTH,YOUTH GROUP TRIES TO SOLVE PROBLEMS
SONCALL,CONTACT WITH SON
SONNUM,NUMBER OF ADULT SONS
SONTIME,TRAVEL TIME TO SON
SONVISIT,HOW OFTEN VISIT SON
SPANENG,INTERVIEWS CONDUCTED IN SPANISH OR ENGLISH
SPANINT,"IF NO SPANISH, R COULD HAVE BEEN INTERVIEWED IN ENGLISH"
SPANKING,FAVOR SPANKING TO DISCIPLINE CHILD
SPANSELF,"IF THIS INTERVIEW HAD ONLY BEEN AVAILABLE IN ENGLISH, WOULD YOU..."
SPARMS,GOVT SPENDING ON DEFENSE
SPARTS,GOVT SPENDING ON CULTURE AND THE ARTS
SPATTEND,HOW OFTEN SP ATTENDS RELIGIOUS SERVICES
SPBARATE,RATE OF  BA  DEGREE  EARNING IN  COLLEGE  SPOUSE ATTENDED
SPBORN,WHEN WAS YOUR SPOUSE BORN
SPDAYS,DAYS SPOUSE NORMALLY WORKS
SPDEATH,DEATH OF SPOUSE
SPDEG,SPOUSE'S HIGHEST DEGREE
SPDEN,"SPECIFIC DENOMINATION, SPOUSE"
SPDEN16,DENOMINATION IN WHICH SPOUSE RAISED
SPDIPGED,"SPOUSE DIPLOMA, GED, OR OTHER"
SPDOTDAT,SP. D.O.T. CODE - RELATION TO DATA
SPDOTGED,SP. D.O.T. CODE - GENERAL EDUC DEVELOP.
SPDOTPEO,SP. D.O.T. CODE - RELATION TO PEOPLE
SPDOTPRE,SP. TEMME PRESTIGE SCALE
SPDOTSVP,SP. D.O.T. CODE - SPECIFIC VOCAT. PREP
SPDOTTHN,SP. D.O.T. CODE - RELATION TO THINGS
SPDRUGS,SPENDING FOR DRUG TREATMENT
SPDSABKD,SPENDING FOR DISABLED KIDS
SPDUE,EVER ENTITLED TO ALIMONY OR CHLD SUPPORT
SPEDUC,"HIGHEST YEAR SCHOOL COMPLETED, SPOUSE"
SPEFTOTLT,TOTAL NUMBER OF STUDENTS ENROLLED IN COLLEGE SPOUSE ATTENDED
SPENDEVE,HOW WILLING R SPEND EVENING WITH CHILD'S FAMILY
SPENVIRO,GOVT SPENDING ON ENVIRONMENT
SPETH1,1ST MENTIONED COUNTRY OF SPOUSE'S ORIGIN
SPETH2,2ND MENTIONED COUNTRY OF SPOUSE'S ORIGIN
SPETH3,3RD MENTIONED COUNTRY OF SPOUSE'S ORIGIN
SPETHNIC,COUNTRY OF SPOUSE'S FAMILY ORIGIN
SPETHNUM,TYPE OF RESPONSE ABOUT ETHNICITY:SP
SPEVDIV,HAS R'S CURRENT SPOUSE BEEN DIVORCED
SPEVWORK,SPOUSE EVER WORK AS LONG AS A YEAR
SPFALOOK,HOURS SPOUSE SPENDS LOOKING AFTER FAMILY MEMBERS
SPFAM16,DID SPOUSE LIVE AT HOME AT AGE 16?
SPFOODKD,"SPENDING FOR FOOD, ETC."
SPFUND,HOW FUNDAMENTALIST IS SPOUSE CURRENTLY
SPFUND16,HOW FUNDAMENTALIST WAS SPOUSE AT 16
SPGRADTOUNDER,ATTENDED
SPHEADST,SPENDING FOR HEAD START
SPHEALER,X SHOULD GO TO SPIRITUAL HEALER FOR HELP
SPHEDIND,SPOUSE'S FATHER'S IND WHEN SPOUSE WAS 16
SPHEDIND10,SPOUSE'S FATHER'S IND WHEN SPOUSE WAS 16 (2010)
SPHEDINDSTATUS,SPHEDIND10 CODING STATUS
SPHEDINDTAG,SPHEDIND10 CODING TAG
SPHEDOCC,SPOUSE'S FATHER'S OCC WHEN SPOUSE WAS 16
SPHEDOCC10,SPOUSE'S FATHER'S OCC WHEN SPOUSE WAS 16 (2010)
SPHEDOCCINDV,SPOUSE'S FATHER'S OCC/IND VERBATIM RETRIEVED
SPHEDOCCSTATUSSPHED,OCC10 CODING STATUS
SPHEDOCCTAG,SPHEDOCC10 CODING TAG
SPHEDPRE,SPOUSE'S FATHER'S OCC PRES WHEN SPOUSE WAS 16 (1980)
SPHEDPRE10,SPOUSE'S FATHER'S OCC PRES WHEN SPOUSE WAS 16 (2010)
SPHEDPRE105PLU,SPOUSE'S FATHER'S OCC PRES WHEN SPOUSE WAS 16 USING THRESHOLD METHOD (2010)
SPHEDSLF,SPOUSE'S FATHER SELF-EMP WHEN SPOUSE WAS 16?
SPHHWORK,HOW MANY HOURS A WEEK DOES SPOUSE ON HH WRK
SPHLTH,GOVT SPENDING ON HEALTH
SPHLTHKD,SPENDING FOR HEALTH CARE
SPHMEWRK,HOW MUCH HOUSEWORK R'S SPOUSE DOES
SPHOMEKD,SPENDING FOR HOUSING
SPHOUR,HOURS SPOUSE USUALLY WORKS
SPHRS1,NUMBER OF HRS SPOUSE WORKED LAST WEEK
SPHRS2,NO. OF HRS SPOUSE USUALLY WORKS A WEEK
SPIND,SPOUSE'S INDUSTRY CODE (1970)
SPIND10,SPOUSE'S INDUSTRY CODE (NAICS 2007)
SPIND80,SPOUSE'S INDUSTRY CODE (1980)
SPINDSTATUS,SPIND10 CODING STATUS
SPINDTAG,SPIND10 CODING TAG
SPIRITS,FELT IN TOUCH WITH DECEASED PERSON
SPISC681,"R'S SPOUSE'S OCCUPATION, 1980 CENSUS"
SPISCO08,"R'S MOTHERS OCCUPATION, 2010 CENSUS & 2008 ISCO CODE"
SPISCO68,"R'S SPOUSE'S OCCUPATION, 1970 CENSUS"
SPISCO88,"R'S SPOUSE'S OCCUPATION, 1980 CENSUS & 1988 ISCO CODE"
SPJEW,WHAT SORT OF JEW IS R'S SPOUSE CURRENTLY
SPJEW16,WHAT SORT OF JEW WAS R'S SPOUSE AT 16
SPJEWAJ,WHAT SORT OF JEW IS R'S SPOUSE CURRENTLY
SPJOTH16,R'S SPOUSE RAISED JEWISH
SPJREL16,RELIGION IN WHICH SPOUSE RAISED
SPKATH,ALLOW ANTI-RELIGIONIST TO SPEAK
SPKCOM,ALLOW COMMUNIST TO SPEAK
SPKHOME1,WHAT LANGUAGE(S) DO YOU SPEAK AT HOME?
SPKHOME2,WHAT LANGUAGE(S) DO YOU SPEAK AT HOME?
SPKHOMO,ALLOW HOMOSEXUAL TO SPEAK
SPKLANG,HOW WELL DOES R SPEAK OTHER LANGUAGE
SPKLANG1,WHAT LANGUAGE(S) DO YOU SPEAK WELL?
SPKLANG2,WHAT LANGUAGE(S) DO YOU SPEAK WELL?
SPKLANG3,WHAT LANGUAGE(S) DO YOU SPEAK WELL?
SPKLANGW,HOW WELL R SPEAKS THE LANGUAGE IN BETRLANG
SPKMIL,ALLOW MILITARIST TO SPEAK
SPKMSLM,ALLOW MUSLIM CLERGYMEN PREACHING HATRED OF THE US
SPKRAC,ALLOW RACIST TO SPEAK
SPKSOC,ALLOW SOCIALIST TO SPEAK
SPLIVE,HOW LONG BEEN LIVING WITH SPOUSE
SPLOCNUM,#OF WORKERS AT THE LOCATION YOUR SPOUSE WORKS
SPMAEDUC,HIGHEST SCHL GRADE SPOUSE'S MOTHER COMPLETED
SPMARNUM,HAS CURRENT SPOUSE BEEN MARRIED BEFORE?
SPMENTL,GOVT SPENDING ON HEALTH
SPNATDIS,SHOULD GOVT SPEND MORE OR LESS ON NATURAL DISASTERS
SPOCC,SPOUSE CENSUS OCCUPATION CODE (1970)
SPOCC10,SPOUSE CENSUS OCCUPATION CODE (2010)
SPOCC80,SPOUSE CENSUS OCCUPATION CODE (1980)
SPOCCINDV,SPOUSE'S OCC/IND VERBATIM RETRIEVED
SPOCCSTATUS,SPOCC10 CODING STATUS
SPOCCTAG,SPOCC10 CODING TAG
SPORTS30,R USE SPORTS SITE IN PAST 30 DAYS
SPOTH16,OTHER PROTESTANT DENOMINATIONS
SPOTHER,OTHER PROTESTANT DENOMINATIONS
SPOTHJEW,SPOUSE CONSIDERS SELF JEWISH
SPOUSE,IMAGE OF GOD AS SPOUSE
SPOUSE1,PERSON #1 IS R'S SPOUSE
SPOUSE2,PERSON #2 IS R'S SPOUSE
SPOUSE3,PERSON #3 IS R'S SPOUSE
SPOUSE4,PERSON #4 IS R'S SPOUSE
SPOUSE5,PERSON #5 IS R'S SPOUSE
SPPAEDUC,HIGHEST SCHL GRADE SPOUSE'S FATHER COMPLETED
SPPAID,REGULARLY RECEIVED ALIMONY - CHLD SUPPRT
SPPART,R'S CURRENT INSURANCE PLAN COVERS SPOUSE
SPPILL,SPENDING FOR BIRTH CONTROL
SPPOLICE,GOVT SPENDING ON LAW ENFORCEMENT
SPPOORKD,SPENDING FOR CHILDCARE FOR POOR
SPPREGNT,SPENDING FOR PRENATAL CARE
SPPRES,SPOUSE'S OCCUPATIONAL PRESTIGE SCORE (1970)
SPPRES10,SPOUSE OCCUPATIONAL PRESTIGE SCORE (2010)
SPPRES105PLUS,SPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
SPPRES80,SPOUSE'S OCCUPATIONAL PRESTIGE SCORE (1980)
SPREL,SPOUSE'S RELIGIOUS PREFERENCE
SPREL16,RELIGION IN WHICH SPOUSE RAISED
SPRETIRE,GOVT SPENDING ON RETIREMENT BENEFITS
SPRTPRSN,R CONSIDER SELF A SPIRITUAL PERSON
SPSCHOOL,GOVT SPENDING ON EDUCATION
SPSECTOR,TYPE OF COLLEGE SPOUSE ATTENDED
SPSEI,R'S SPOUSE'S SOCIOECONOMIC INDEX (1980)
SPSEI10,R'S SPOUSE'S SOCIOECONOMIC INDEX (2010)
SPSEI10EDUC,PERCENTAGE OF SOME COLLEGE EDUC IN SPOCC10 BASED ON ACS 2010
SPSEI10INC,PERCENTAGE OF $45K+ EARNERS IN SPOCC10 BASED ON ACS 2010
SPSIBS,NO OF SIBLINGS SPOUSE HAS
SPTMKID1,TIME SPOUSE SPENDS WITH CHILD 1
SPTMKID2,TIME SPOUSE SPENDS WITH CHILD 2
SPTMKID3,TIME SPOUSE SPENDS WITH CHILD 3
SPTMKID4,TIME SPOUSE SPENDS WITH CHILD 4
SPUNEMP,GOVT SPENDING ON UNEMPLOYMENT BENEFITS
SPVTRFAIR,SUPERVISOR IS FAIR
SPWKBABY,DID SPOUSE WORK WITH YOUNG CHILDREN
SPWKGRWN,DID SPOUSE WORK AFTER CHILDREN LEFT HOME
SPWKNOKD,DID SPOUSE WORK AFTER MARRIAGE BEFORE KIDS
SPWKSUP,DOES R'S SPOUSE OR PARTNER SUPERVISE ANYONE DIRECTLY RESPONSIBLE TO THEM
SPWRKGVT,SPOUSE WORKING FOR GOVERNMENT
SPWRKPAR,SPENDING FOR CHILDCARE FOR WRKERS
SPWRKSCH,DID SPOUSE WORK WITH SCHOOL AGE CHILDREN
SPWRKSLF,SPOUSE SELF-EMP. OR WORKS FOR SOMEBODY
SPWRKSTA,SPOUSE LABOR FORCE STATUS
SPYENEMY,PUNISHMENT FOR SELLING SECRETS TO HOSTILE FOREIGN GOV
SPYFREND,PUNISHMENT FOR SELLING SECRETS TO FRIEND FOREIGN GOV
SPYRBORN,BIRTH YR OF CURRENT SPOUSE
SRCBELT,SRC BELTCODE
SRCHENG,HOW OFTEN R USES SEARCH ENGINE
SRCHENG1,DOES R KNOW THE NAME OF A SEARCH ENGINE
SRCHENG2,NAME OF SEARCH ENGINE GIVEN BY R
SRCHWRK,GOVT SEARCH BRIEFCASES AND DESKS AT WORK
SSFCHILD,SAME SEX FEMALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE
SSMCHILD,SAME SEX MALE COUPLE RAISE CHILD AS WELL AS MALE-FEMALE COUPLE
STAIRS,R LIMITED IN CLIMBING STAIR'S
STANDUP,STAND UP FOR YOUR OWN OPINION
STARTBIZ,R TRYING TO START BUSINESS
STATEART,FEEL STATE GOV SHOULD PROVIDE ASSISTANCE TO ART
STAYORG1,WOULD TAKE ANY JOB TO KEEP WORKING FOR THIS ORG.
STAYORG2,TURN DOWN ANOTHER JOB FOR PAY TO STAY THIS ORG.
STAYORG3,I WOULD TURN DOWN JOB OFFERING MORE PAY
STIFFPUN,LAWBREAKERS SHOULD GET STIFFER SENTENCES
STOCKOPS,R HOLD ANY STOCK OPTIONS OF R'S COMPANY
STOCKVAL,TOTAL DOLLAR VALUE OF R'S STOCK
STOPRNDM,SHOULD AUTHORITIES HAVE RIGHT TO SEARCH PPL IN THE STREET
STORMTXT,DO YOU SEE LIGHTNING BEFORE HEARING THUNDER
STRESS,HOW OFTEN DOES R FIND WORK STRESSFUL
STRESS12,STRESS MANAGEMENT PROGRAM LAST 12 MONTHS
STRESSES,HOW LIKELY X S SITUATION CAUSED BY STRESS
STRESSFL,SITUATION CAUSED BY STRESSFUL CIRCUMSTANCES
STRESSWK,STRESS AT WORK IN PAST 2 WKS
STRIKE,PICKETING FOR LABOR STRIKE
STRNGUN,STRONG UNIONS NEEDED TO PROTECT WORKERS
STRREDPG,ACCESS TO STRESS MANAGEMENT
STRSSHME,LIFE AT HOME IS RARELY STRESSFUL
STRSSWRK,JOB IS RARELY STRESSFUL
STUDIOUS,GOOD STUDENT
STUDIOUY,GOOD STUDENT-VERSION Y
STUDIOUZ,GOOD STUDENT-VERSION Z
SUCCESS,TRIES HARD TO SUCCEED
SUCCESSY,TRIES HARD TO SUCCEED-VERSION Y
SUCCESSZ,TRIES HARD TO SUCCEED-VERSION Z
SUFADULT,WOULD CHILD SUFFER AS ADULT IF OTHER LEARN
SUIAGE,AGE OF SUICIDE VICTIM CLOSEST TO R
SUIAGE2,AGE OF SUICIDE VICTIM 2ND CLOSEST TO R
SUIAGE3,AGE OF SUICIDE VICTIM 3RD CLOSEST TO R
SUICIDE1,SUICIDE IF INCURABLE DISEASE
SUICIDE2,SUICIDE IF BANKRUPT
SUICIDE3,SUICIDE IF DISHONORED FAMILY
SUICIDE4,SUICIDE IF TIRED OF LIVING
SUICLSE1,HOW CLOSE WERE YOU TO CLOSEST SUICIDE VICTIM
SUICLSE2,HOW CLOSE WEREYOU TO 2ND CLOSEST SUICIDE VICTIM
SUIKNEW,#PEOPLE R KNOWS SUICIDE IN LAST YEAR
SUIMTHS1,HOW MANY MONTHS SINCE CLOSEST SUICIDE
SUIMTHS2,HOW MANY MONTHS SINCE 2ND CLOSEST SUICIDE
SUINEG1,DID CLOSEST SUICIDE NEGATIVELY IMPACT YOU
SUINEG2,DID 2ND CLOSEST SUICIDE NEGATIVELY IMPACT YOU
SUINUM,PEOPLE R KNOWS SUICIDE OVER LIFETIME
SUINUM1,PEOPLE R KNOWS SUICIDE OVER LIFETIME
